epoch,alpha,beta,gamma,loss,lr,predictions_coarse1_acc,predictions_coarse1_loss,predictions_coarse2_acc,predictions_coarse2_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse1_acc,val_predictions_coarse1_loss,val_predictions_coarse2_acc,val_predictions_coarse2_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.9,0.1,0.0,0.46649297108650206,0.00025,0.848325,0.3600405090332031,0.493025,1.4245651863098145,0.100375,3.13277307510376,31.146018266677856,0.46678776912689207,0.8409,0.361601086807251,0.4868,1.413467924118042,0.0769,2.6241524528503417
1,0.9,0.1,0.0,0.31122404470443726,0.00025,0.9087,0.23484610149860383,0.6391,0.9986255888938904,0.097575,3.130242079162598,26.993146657943726,0.31156251010894775,0.9122,0.22865710039138795,0.6123,1.0577112112045288,0.0877,2.527089205169678
2,0.9,0.1,0.0,0.2525883037567139,0.00025,0.9278,0.1901764108300209,0.70545,0.8142953582763672,0.099775,3.1255856941223144,27.013051748275757,0.25833821091651915,0.931,0.18666992506980895,0.6939,0.9033528267860412,0.1049,2.5122092502593993
3,0.9,0.1,0.0,0.21805930404663085,0.00025,0.937825,0.1646396129488945,0.7501,0.6988365409851074,0.10115,3.1156236740112306,27.003751516342163,0.3018827777862549,0.8929,0.2548617436170578,0.7402,0.7250721268892288,0.1022,2.528327702331543
4,0.0,0.8,0.2,0.18910694437026979,0.00025,0.94695,0.14228201584815978,0.78055,0.6105313209533691,0.099575,3.119476563644409,26.94893717765808,0.2049369985103607,0.9418,0.15079422636032105,0.7518,0.6922219773769379,0.1001,2.5665117752075197
5,0.0,0.8,0.2,0.7557419803619385,0.00025,0.9484,0.13367073097229004,0.769125,0.6432722101211548,0.58405,1.2056209854125977,26.9877610206604,0.724838555765152,0.942,0.15031876025795937,0.7727,0.6354503467321396,0.6336,1.0823913400173186
6,0.0,0.8,0.2,0.5345779312610626,0.00025,0.9486,0.1373969316482544,0.83485,0.46254133129119873,0.708575,0.8227242820739746,26.91014862060547,0.6561391949176788,0.9385,0.1580448646605015,0.7818,0.6159709756612778,0.7162,0.816812015414238
7,0.0,0.8,0.2,0.4160804720401764,0.00025,0.947275,0.13802501802444458,0.8748,0.3543388525009155,0.764975,0.663046907043457,26.983033180236816,0.5804265419006348,0.9369,0.16267022913098336,0.8078,0.5425153409361839,0.7371,0.7320712755203247
8,0.0,0.8,0.2,0.33192575340270997,0.00025,0.948025,0.13711298475265504,0.9012,0.278556459903717,0.806575,0.545402903175354,26.88411831855774,0.6793729908704758,0.9306,0.1739416707456112,0.7898,0.6410437127232551,0.7186,0.832690027141571
9,0.0,0.8,0.2,0.2524376613616943,0.00025,0.9478,0.13960039396286011,0.930825,0.20470182795524597,0.843625,0.44338097648620606,26.922043561935425,0.5949564655303955,0.9405,0.15762496215701102,0.8159,0.5568945825636387,0.7439,0.7472039386510849
10,0.0,0.8,0.2,0.18925213341712951,0.00025,0.948775,0.13769030029773713,0.9494,0.14926287934780122,0.877725,0.3492091332435608,26.883212566375732,0.677963206410408,0.9306,0.17433425652980805,0.7981,0.6655105885088444,0.7614,0.7277736169934272
11,0.0,0.8,0.2,0.14759489154815675,0.00025,0.94775,0.13879818665981292,0.9623,0.11461285190582275,0.903575,0.2795230405330658,26.90692687034607,0.7845382458686828,0.9381,0.16243546875715256,0.7827,0.7521428990364075,0.7188,0.9141195385456086
12,0.0,0.8,0.2,0.11306274086236953,0.00025,0.94785,0.13661154959201813,0.97125,0.08676997954845428,0.9257,0.2182337763786316,26.942075729370117,0.7142881612539291,0.9416,0.15334005784988403,0.8072,0.6901708414435387,0.75,0.8107573748111725
13,0.0,0.8,0.2,0.09167086873054504,0.00025,0.947975,0.14090499086380004,0.976875,0.07019645206928253,0.940425,0.17756852877140045,26.859180688858032,0.6828979387283325,0.9396,0.15919907228946686,0.8218,0.6549297337412834,0.7593,0.7947707021713257
14,0.0,0.4,0.6,0.07302869307994843,0.00025,0.949025,0.13695796023607254,0.982725,0.055602849036455154,0.9531,0.14273206379413605,27.47549080848694,0.8743159922838211,0.9343,0.17034935923814773,0.7939,0.8377785362362862,0.7169,1.0204657432317734
15,0.0,0.4,0.6,0.07368992125988007,0.000125,0.9495,0.1375559466123581,0.9908,0.033476452934741975,0.96795,0.10049889552593232,26.92643666267395,0.7358979179620743,0.9423,0.1547406893014908,0.8402,0.6145708523988723,0.7702,0.8167825881481171
16,0.0,0.4,0.6,0.054216471588611606,0.000125,0.947875,0.1374989597797394,0.9935,0.026043043315410613,0.977725,0.07299875375032425,26.975497722625732,0.7447350503921509,0.9387,0.15981109251976014,0.8393,0.6274138312339783,0.775,0.8229491578578949
17,0.0,0.4,0.6,0.0432105853497982,0.000125,0.947275,0.13892677396535874,0.994325,0.022662229150533675,0.983725,0.056909486973285676,26.89607524871826,0.799585947561264,0.939,0.15931592383384705,0.8404,0.6518819249153137,0.7677,0.8980552486896515
18,0.0,0.4,0.6,0.03626122497320175,0.000125,0.947525,0.14015625777244567,0.995275,0.020284360012412073,0.98695,0.046912466061115266,26.918792486190796,0.7809927452325821,0.9395,0.15625849007368087,0.8375,0.635164752984047,0.7749,0.878211352276802
19,0.0,0.4,0.6,0.031658426201343536,0.000125,0.94745,0.13985313925743104,0.9955,0.018526801419258117,0.988,0.04041284096837044,26.900542974472046,0.7976807020902633,0.9405,0.1586840229511261,0.835,0.6578580809354783,0.7765,0.8908957350492478
20,0.0,0.4,0.6,0.027589368003606795,0.000125,0.948525,0.1383926468849182,0.995775,0.0178215840511024,0.990875,0.03410122243762016,26.98414635658264,0.8280639494180679,0.9417,0.15513728907108307,0.8336,0.6722137211322784,0.7727,0.9319640629529953
21,0.0,0.0,1.0,0.02580861722230911,0.000125,0.947075,0.14083855974674225,0.99595,0.016247512510418893,0.9911,0.032182685542106626,26.94420552253723,0.8502352909088134,0.94,0.15463962219953536,0.8368,0.6770206659317016,0.7715,0.9657116693496705
22,0.0,0.0,1.0,0.03750892555713654,0.000125,0.9462,0.1409052248239517,0.995125,0.01965145139992237,0.9892,0.03750892555713654,26.821563482284546,1.0979560859680175,0.9387,0.1611714578807354,0.828,0.7213066582202912,0.753,1.0979560859680175
23,0.0,0.0,1.0,0.04122120924293995,0.000125,0.94675,0.1421066304206848,0.9945,0.021358670073747636,0.987075,0.04122120924293995,26.90393567085266,1.053643347597122,0.9398,0.15728191653490067,0.828,0.70873179666996,0.7668,1.053643347597122
