epoch,alpha,beta,gamma,loss,lr,predictions_coarse1_acc,predictions_coarse1_loss,predictions_coarse2_acc,predictions_coarse2_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse1_acc,val_predictions_coarse1_loss,val_predictions_coarse2_acc,val_predictions_coarse2_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.9,0.1,0.0,0.49393280129432676,0.00025,0.83585,0.38836644487380984,0.487775,1.444030058479309,0.09515,3.08523459854126,31.939553022384644,0.3619834903717041,0.8783,0.29290615510940554,0.6312,0.9836795552253723,0.0835,2.614983322906494
1,0.9,0.1,0.0,0.32165696716308595,0.00025,0.904325,0.24542689051628114,0.6336,1.0077276877403258,0.094725,3.0503251598358156,27.27680277824402,0.2942204231262207,0.9251,0.19352675909996034,0.5739,1.2004634002685546,0.0812,2.44401104888916
2,0.9,0.1,0.0,0.25954158725738524,0.00025,0.924525,0.19765726358890534,0.70515,0.8165005309104919,0.10005,3.034703150177002,27.401377201080322,0.23472792468070983,0.9333,0.16694280322790145,0.6956,0.8447940447807312,0.1233,2.435127651977539
3,0.9,0.1,0.0,0.22368099126815796,0.00025,0.93555,0.17008571147918702,0.742275,0.7060385231018066,0.10425,2.990963095474243,27.214685440063477,0.20719572367668151,0.9353,0.157043945145607,0.7613,0.6585617684125901,0.1272,2.3680350803375245
4,0.0,0.8,0.2,0.19615340526103972,0.00025,0.94335,0.14917090952396392,0.7762,0.6189958959579468,0.104575,3.001090811920166,27.208977937698364,0.2371360553741455,0.9296,0.18755109417438506,0.7482,0.6834007527828216,0.1192,2.417546039581299
5,0.0,0.8,0.2,0.7368247006416321,0.00025,0.94465,0.14510067315101624,0.76925,0.6442096979141235,0.615875,1.107284611606598,27.246708869934082,0.8348746080875397,0.9094,0.23139562937617303,0.7422,0.7649780050754547,0.63,1.1144609191894532
6,0.0,0.8,0.2,0.5249623220443725,0.00025,0.946125,0.1404180478811264,0.83025,0.47241647624969485,0.736925,0.7351456600189209,27.219104528427124,0.6247027945518494,0.9337,0.1666803703725338,0.7918,0.5860546757221222,0.7305,0.7792951905250549
7,0.0,0.8,0.2,0.40582405695915225,0.00025,0.949225,0.13494957451820375,0.870525,0.36519143800735476,0.7949,0.5683544965744018,27.26376986503601,0.6225434334158897,0.9402,0.15672296855449677,0.7994,0.5899839284300804,0.7461,0.7527813861846924
8,0.0,0.8,0.2,0.3098551530838013,0.00025,0.94895,0.13348332009315492,0.90335,0.27682501697540285,0.841525,0.441975670337677,27.23154592514038,0.6936473699569702,0.9395,0.15462468459010123,0.7657,0.6639715576171875,0.7222,0.8123505154132843
9,0.0,0.8,0.2,0.2371222170829773,0.00025,0.95265,0.12587318136692047,0.92635,0.21186225824356078,0.87885,0.3381620288848877,27.241051197052002,0.6593586104869843,0.9393,0.15862079159021378,0.7849,0.6288980840682984,0.7404,0.7812006261348724
10,0.0,0.8,0.2,0.17469686048030852,0.00025,0.954075,0.12267276706695557,0.948225,0.15608258018493654,0.912425,0.24915396881103516,27.131335973739624,0.6521547294139862,0.9368,0.16573863871097563,0.8132,0.6161564868450164,0.7552,0.7961476096272468
11,0.0,0.8,0.2,0.13114798293113708,0.00025,0.9546,0.12393785173892975,0.961375,0.11705963354110718,0.93485,0.18750137000083925,27.261183977127075,0.6326694474220276,0.9324,0.1826308449983597,0.826,0.5935347800254822,0.765,0.7892080613136292
12,0.0,0.8,0.2,0.10835370993614196,0.00025,0.95525,0.12084604153633118,0.9673,0.09750513982772827,0.949375,0.1517479778289795,27.15257501602173,0.6953602390289306,0.9352,0.16940173020362853,0.8134,0.655440299987793,0.7575,0.8550398898124695
13,0.0,0.8,0.2,0.07979756662845612,0.00025,0.9578,0.11559014439582825,0.9768,0.07184305837154388,0.963375,0.11161559320688248,27.238444566726685,0.6591348733901977,0.9383,0.16290782239437104,0.828,0.6208761951446533,0.7716,0.8121695017337799
14,0.0,0.4,0.6,0.06619504849910736,0.00025,0.9568,0.11639581761360168,0.981775,0.061201754367351535,0.973475,0.08616821756362915,27.26503825187683,0.7758749982833862,0.9383,0.1645092908382416,0.8002,0.7319150796890259,0.7499,0.951714594745636
15,0.0,0.4,0.6,0.07563438725471497,0.00025,0.958775,0.11303052518367768,0.983175,0.053102948355674744,0.969225,0.09065534272193909,27.260316610336304,0.8709476577997207,0.942,0.15626080930233002,0.8195,0.6968683195352554,0.7583,0.9870005016326904
16,0.0,0.4,0.6,0.06612419571876525,0.00025,0.9569,0.11574943103790283,0.9849,0.04770283750295639,0.973175,0.07840509691238404,27.218512773513794,0.8883128322601318,0.9395,0.15978072383403777,0.8144,0.7186621182441711,0.7603,1.001413257932663
17,0.0,0.4,0.6,0.053501825320720675,0.00025,0.957525,0.11357881479263306,0.986325,0.04400502993315458,0.979925,0.05983301944732666,28.06506896018982,0.8872565196990967,0.9369,0.1669539811372757,0.8233,0.7045191650390625,0.7669,1.0090813617229462
18,0.0,0.4,0.6,0.02915865016579628,0.000125,0.961225,0.10543397723436355,0.9928,0.025811403715610505,0.990225,0.03139014649987221,27.21379256248474,0.8479939611911773,0.9398,0.16073889690637588,0.8337,0.6719912737846374,0.7795,0.9653290291786194
19,0.0,0.4,0.6,0.02080256242752075,0.000125,0.964225,0.10274068727493287,0.99525,0.019316129651665688,0.994325,0.021793516387045384,27.216782331466675,0.8278894136428833,0.9397,0.15952670930027962,0.8376,0.6599006436347962,0.781,0.9398818776130676
20,0.0,0.4,0.6,0.017329540753364563,0.000125,0.962,0.10442334859371186,0.99635,0.016207738062739372,0.9953,0.018077408075332643,27.263709545135498,0.8610375304222107,0.9411,0.16029593061208725,0.8378,0.6789458483219146,0.7788,0.9824319276571274
21,0.0,0.0,1.0,0.01518494642674923,0.000125,0.96245,0.10234203705787659,0.9966,0.015508947755396366,0.996325,0.014968944661319256,27.162468671798706,0.8739842844486236,0.9368,0.16809507131576537,0.8312,0.6849417860269547,0.7784,1.0000125745296478
22,0.0,0.0,1.0,0.015445887556672096,0.000125,0.9633,0.10236846730709076,0.996525,0.015310709185898304,0.9957,0.015445887556672096,27.167694807052612,1.0327163637161254,0.9398,0.16688609880208968,0.8312,0.700141861820221,0.778,1.0327163637161254
23,0.0,0.0,1.0,0.014714304219186305,0.000125,0.960775,0.1053023756980896,0.99585,0.01613626103699207,0.995725,0.014714304219186305,27.22094178199768,1.0895475561708212,0.9333,0.1766401076555252,0.8278,0.7234676042556762,0.7724,1.0895475561708212
24,0.0,0.0,1.0,0.014364929719269276,0.000125,0.961525,0.10681314880847931,0.99565,0.01751746445596218,0.9962,0.014364929719269276,27.202244997024536,1.108886872112751,0.9405,0.15942490985393523,0.8313,0.7039606954097748,0.7727,1.108886872112751
25,0.0,0.0,1.0,0.015440446212887765,0.000125,0.96035,0.1053346556186676,0.9946,0.018771621644496916,0.99555,0.015440446212887765,27.223674058914185,1.0979636057376863,0.934,0.17401367287635802,0.8266,0.7285234710693359,0.7743,1.0979636057376863
26,0.0,0.0,1.0,0.015286483937501908,0.000125,0.9594,0.11208827983140945,0.994875,0.019117915359139443,0.995625,0.015286483937501908,27.19664216041565,1.1492911787033082,0.9354,0.1746167720913887,0.8282,0.7392019894599915,0.7688,1.1492911787033082
27,0.0,0.0,1.0,0.014016654080152511,0.000125,0.960275,0.10882744998931884,0.9946,0.019338701769709588,0.996175,0.014016654080152511,27.236804008483887,1.1854151225566865,0.9372,0.16813670096993447,0.8245,0.7458351086616516,0.7676,1.1854151225566865
28,0.0,0.0,1.0,0.009536410012841225,6.25e-05,0.96155,0.10622065105438232,0.99645,0.014038695600628853,0.9976,0.009536410012841225,27.206142902374268,1.0942638409614562,0.9395,0.16267742356061934,0.8399,0.7011823858261108,0.7836,1.0942638409614562
29,0.0,0.0,1.0,0.007430873809754848,6.25e-05,0.961325,0.10553052864074706,0.997125,0.012606674793362617,0.99815,0.007430873809754848,27.251152992248535,1.0791348880290985,0.9397,0.16635425698757172,0.8355,0.6891854470729828,0.7838,1.0791348880290985
30,0.0,0.0,1.0,0.006554856779426336,6.25e-05,0.961625,0.10550412707328796,0.9979,0.011044478680565952,0.9984,0.006554856779426336,27.232861518859863,1.1021184678554534,0.9397,0.16453838698863985,0.8326,0.7082938148975372,0.7816,1.1021184678554534
31,0.0,0.0,1.0,0.006245644538849592,6.25e-05,0.9637,0.10057930026054382,0.997275,0.011546879251301288,0.998475,0.006245644538849592,27.229051113128662,1.105811363172531,0.9395,0.16264655116796495,0.8368,0.7083290244102478,0.7836,1.105811363172531
32,0.0,0.0,1.0,0.005506365832686424,6.25e-05,0.962375,0.10337901989221573,0.9976,0.010705995205044746,0.998675,0.005506365832686424,27.238799571990967,1.112023078107834,0.9392,0.16339110729694367,0.8345,0.7002232330799103,0.7839,1.112023078107834
33,0.0,0.0,1.0,0.0056488841146230696,6.25e-05,0.960475,0.10484780740737915,0.997375,0.011693328015506268,0.998725,0.0056488841146230696,27.189828395843506,1.1037918495178223,0.9391,0.1653143325805664,0.8405,0.6961412341594696,0.7851,1.1037918495178223
34,0.0,0.0,1.0,0.004471774498000741,6.25e-05,0.963,0.1016191528081894,0.9979,0.010174902027845384,0.999125,0.004471774498000741,27.13005518913269,1.1097661052703858,0.9387,0.1639630041360855,0.8389,0.6998871396064759,0.7841,1.1097661052703858
35,0.0,0.0,1.0,0.004783776696771384,6.25e-05,0.961825,0.10257328674793244,0.997925,0.010254178775846959,0.999025,0.004783776696771384,27.295034885406494,1.1010463785409927,0.9386,0.1650214995622635,0.8369,0.6967213726520538,0.7869,1.1010463785409927
36,0.0,0.0,1.0,0.004978427114803344,6.25e-05,0.9641,0.10123832169771195,0.9975,0.011095964894630016,0.998725,0.004978427114803344,27.217841386795044,1.1357707580685616,0.9368,0.1741576766729355,0.835,0.7095539553165435,0.7839,1.1357707580685616
37,0.0,0.0,1.0,0.004810710771381855,6.25e-05,0.96165,0.10437814919948578,0.99745,0.01051507140249014,0.998975,0.004810710771381855,27.305899381637573,1.1467993082880974,0.9385,0.16391061972379684,0.8349,0.7218417725563049,0.7837,1.1467993082880974
38,0.0,0.0,1.0,0.0030629118755459784,3.125e-05,0.9618,0.10209101989269256,0.998525,0.008280519305169582,0.999475,0.0030629118755459784,27.226787567138672,1.130089244401455,0.9408,0.1624536041378975,0.8397,0.7071789904117585,0.7862,1.130089244401455
39,0.0,0.0,1.0,0.003132128597423434,3.125e-05,0.96345,0.10032849770784379,0.998475,0.00811625426262617,0.99935,0.003132128597423434,27.185588359832764,1.1323237187862396,0.9387,0.16324507842063904,0.839,0.7014738993644715,0.7877,1.1323237187862396
40,0.0,0.0,1.0,0.0034019044445827602,3.125e-05,0.963075,0.10288010458946228,0.99815,0.008590358813107013,0.999275,0.0034019044445827602,27.24007821083069,1.1181328108072282,0.9353,0.17207171068787575,0.8383,0.6933328161239624,0.7878,1.1181328108072282
41,0.0,0.0,1.0,0.0031252634663134814,3.125e-05,0.962775,0.103141108417511,0.997975,0.00899989272877574,0.99935,0.0031252634663134814,27.182776927947998,1.1376640768945216,0.9382,0.1668411162495613,0.8387,0.7014134816169739,0.7868,1.1376640768945216
42,0.0,0.0,1.0,0.003263351986184716,3.125e-05,0.96395,0.10064760693311692,0.998125,0.008734911575168371,0.999275,0.003263351986184716,27.217654705047607,1.1262323234796523,0.939,0.16538304139971732,0.8398,0.6962858140468597,0.7895,1.1262323234796523
43,0.0,0.0,1.0,0.0029463630195707084,3.125e-05,0.9617,0.10282523581981659,0.9982,0.008391862586140632,0.9994,0.0029463630195707084,27.193509578704834,1.1431974642038345,0.9392,0.1654137848496437,0.8366,0.6976114135742187,0.7864,1.1431974642038345
44,0.0,0.0,1.0,0.0025457365546375514,3.125e-05,0.964,0.09988167252540589,0.998575,0.007484610110521316,0.999575,0.0025457365546375514,27.240368366241455,1.145107791042328,0.9363,0.16950396086573602,0.8356,0.7059863708019256,0.7854,1.145107791042328
45,0.0,0.0,1.0,0.0031056573674082756,3.125e-05,0.96345,0.09969653936624527,0.9981,0.00842560428455472,0.9993,0.0031056573674082756,27.193576097488403,1.1392188807070256,0.9397,0.16206560827493668,0.8376,0.7017091260910034,0.7867,1.1392188807070256
46,0.0,0.0,1.0,0.002617775744013488,3.125e-05,0.963325,0.10025741560459137,0.998575,0.007798191345483064,0.99945,0.002617775744013488,27.210310220718384,1.1505102213978768,0.939,0.16243904955387115,0.8372,0.7035280845165253,0.7863,1.1505102213978768
47,0.0,0.0,1.0,0.002162734872289002,3.125e-05,0.962825,0.10100297731161118,0.998775,0.007068754529207945,0.9997,0.002162734872289002,27.196473598480225,1.1732414708018304,0.9397,0.1632061505675316,0.8366,0.7187138077259063,0.7881,1.1732414708018304
48,0.0,0.0,1.0,0.0021772205493412913,1.5625e-05,0.964525,0.09699200389385224,0.9983,0.007488698969781399,0.999625,0.0021772205493412913,27.28434157371521,1.1454957275629043,0.9402,0.16180327606201172,0.8397,0.6990562509059906,0.7893,1.1454957275629043
