epoch,alpha,beta,gamma,loss,lr,predictions_coarse1_acc,predictions_coarse1_loss,predictions_coarse2_acc,predictions_coarse2_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse1_acc,val_predictions_coarse1_loss,val_predictions_coarse2_acc,val_predictions_coarse2_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.9,0.1,0.0,0.48673285398483274,0.00025,0.853925,0.3777636442422867,0.4818,1.4674558090209961,0.098025,3.095610133743286,69.55584192276001,1.0221959423542022,0.6396,0.9815029784440994,0.5119,1.3884327563285828,0.1375,2.481073867034912
1,0.7730376,0.22696242,0.0,0.317448868894577,0.00025,0.907325,0.23977782535552977,0.632975,1.0164882989883424,0.099675,3.0966361755371095,63.323906660079956,0.2931709537267685,0.9033,0.2345953248500824,0.6984,0.8203516746997833,0.1255,2.444206637954712
2,0.49279338,0.5072066,0.0,0.33789577145576477,0.00025,0.923025,0.19737907078266143,0.70875,0.8164978532791137,0.09485,3.120306335067749,63.269811153411865,0.29548544878959654,0.9337,0.17663466103076936,0.7473,0.7002930671691895,0.0723,2.59396828994751
3,0.0,1.0,0.0,0.4279430244445801,0.00025,0.934675,0.1670072657108307,0.754625,0.6814638020515442,0.094175,3.1216263549804686,63.2368049621582,0.5490307023048401,0.9335,0.18249435217380525,0.6887,0.9051512271881104,0.1217,2.5532311111450197
4,0.0,0.80388093,0.19611906,0.5779014607906342,0.00025,0.9374,0.15873371522426605,0.7931,0.5779014607906342,0.097825,3.076870343399048,63.24856495857239,0.7711697930335999,0.8873,0.274417220389843,0.7208,0.7711697930335999,0.093,2.5349392078399657
5,0.0,0.7031643,0.29683572,0.5477604515075684,0.00025,0.93885,0.15288213753700255,0.8475,0.43219766883850097,0.628575,1.0214458068847656,63.54817724227905,0.7445822655677795,0.9302,0.17698292536735535,0.7623,0.6899677462339401,0.6626,0.9684441776275635
6,0.0,0.2810085,0.7189915,0.4460997543334961,0.00025,0.942725,0.14354441256523132,0.877525,0.34529869174957273,0.744125,0.6848840543746948,63.534605503082275,0.6837270373344422,0.944,0.14580176575183867,0.7882,0.6159459393024445,0.7064,0.844291409778595
7,0.0,0.11016806,0.88983196,0.47017287254333495,0.00025,0.9428,0.14398439989089964,0.902425,0.2779882733821869,0.7946,0.5452857116699219,63.5607705116272,0.7360408508777618,0.9374,0.16216342742443085,0.8017,0.5806888828158379,0.7318,0.7967581247091293
8,0.0,0.046943158,0.9530568,0.3988332271575928,0.00025,0.94505,0.13881605083942414,0.9245,0.2245529574394226,0.8442,0.42041045956611633,63.426995277404785,0.7768758011102677,0.8909,0.2628211370706558,0.8159,0.561422412532568,0.7417,0.8035505824148655
9,0.0,0.0149020385,0.98509794,0.32934401473999025,0.00025,0.941975,0.145578382730484,0.9375,0.19055933380126952,0.876225,0.33617991456985474,63.53994798660278,0.7866343766868115,0.9232,0.19531902875900267,0.8201,0.5365026302158833,0.7493,0.7989547380387783
10,0.0,0.0034534775,0.9965465,0.2677212702989578,0.00025,0.9445,0.14045264545679093,0.94785,0.16457304283380508,0.8999,0.2692816462755203,63.513983488082886,0.9091625261306763,0.9099,0.21841313610076904,0.8198,0.5623415580570698,0.7365,0.9144090624809265
11,0.0,0.00051928737,0.9994807,0.20594009144306183,0.00025,0.946025,0.13566670742034911,0.958525,0.13768516240119935,0.92675,0.20617662985324858,63.45110201835632,0.9289994359433651,0.9343,0.17321122020483018,0.8019,0.6204059796720743,0.7455,0.930068863415718
12,0.0,4.4633325e-05,0.99995536,0.16909463231563568,0.00025,0.945525,0.13919078187942505,0.964025,0.12356953191757201,0.94085,0.1691182828426361,63.63481593132019,0.9007505248427391,0.933,0.17054228072166444,0.8029,0.6025087579190731,0.753,0.9009054628252983
13,0.0,2.1271806e-06,0.99999785,0.1309309275150299,0.00025,0.948,0.1334705962896347,0.96955,0.10942263860702514,0.954275,0.13093188920021057,63.43660855293274,0.8414390347123146,0.9357,0.16737261962890626,0.8228,0.5376382614552975,0.7693,0.8414526100814342
14,0.0,2.3881578e-08,1.0,0.10822747728824615,0.00025,0.95045,0.12759833920001984,0.974175,0.10168761283159256,0.9632,0.10822749364376068,63.45138239860535,0.8965918707728386,0.9354,0.1691212727069855,0.8275,0.5315505223721266,0.7709,0.8965926627278328
15,0.0,1.13174775e-10,1.0,0.08951840199232101,0.00025,0.94915,0.132239998960495,0.9762,0.09445163663625718,0.970775,0.08951840180158616,63.42056941986084,0.9416782720267772,0.9338,0.1680320190012455,0.8264,0.5302793394267559,0.759,0.9416782720267772
16,0.0,1.4778157e-13,1.0,0.07982575643658638,0.00025,0.950175,0.13093284983634948,0.977525,0.09107339009046554,0.9734,0.07982575643658638,63.563329458236694,0.916696797734499,0.9358,0.16360175607204439,0.8221,0.54594549074471,0.7769,0.916696797734499
17,0.0,1.6081754e-16,1.0,0.06551456911563873,0.00025,0.95035,0.1305034276485443,0.97925,0.08489048483371735,0.977875,0.06551456911563873,63.77365303039551,1.0034212082266807,0.9303,0.17917902579307557,0.8076,0.5924863546967506,0.7577,1.0034212082266807
18,0.0,5.5140365e-21,1.0,0.04355126523971558,0.000125,0.9564,0.11831495205163955,0.9853,0.06890944682359695,0.986575,0.04355126523971558,63.63498902320862,0.87636301445961,0.9405,0.1513904281616211,0.8334,0.5035525756835938,0.7867,0.87636301445961
19,0.0,1.8014913e-28,1.0,0.031009243524074553,0.000125,0.955025,0.11859861681461334,0.988,0.05901145145893097,0.991175,0.031009243524074553,63.57814288139343,0.9123677865982056,0.9408,0.15508043966293336,0.8323,0.5128542943060398,0.7831,0.9123677865982056
20,0.0,6.436494e-38,1.0,0.02557250127196312,0.000125,0.9576,0.11492921719551086,0.989375,0.0545244464635849,0.9931,0.02557250127196312,63.527522563934326,0.9251502677440643,0.9381,0.15742220809459687,0.8353,0.5113991157472134,0.783,0.9251502677440643
21,0.0,0.0,1.0,0.02267522055208683,0.000125,0.959275,0.1111494614124298,0.990775,0.052122286558151244,0.99385,0.02267522055208683,63.59939694404602,0.9337471621632576,0.9402,0.1550458527326584,0.8364,0.5106637470513582,0.7853,0.9337471621632576
22,0.0,0.0,1.0,0.0194623742043972,0.000125,0.958925,0.1115086921930313,0.991475,0.04891975074410439,0.994925,0.0194623742043972,63.56835889816284,0.9684428603887558,0.944,0.15036335980892182,0.8396,0.5138504639983177,0.7858,0.9684428603887558
23,0.0,0.0,1.0,0.01969536738395691,0.000125,0.95895,0.10855765597820281,0.99085,0.050450128960609436,0.994825,0.01969536738395691,63.49276375770569,0.9381203090667725,0.9394,0.15637287502288819,0.8379,0.5040258835285902,0.7872,0.9381203090667725
24,0.0,0.0,1.0,0.017131587186455726,0.000125,0.959275,0.11074507520198822,0.9921,0.04700329086780548,0.99575,0.017131587186455726,63.42462944984436,0.9887001886367798,0.939,0.15747588696479797,0.8291,0.5255904833137989,0.7834,0.9887001886367798
25,0.0,0.0,1.0,0.016852188475430012,0.000125,0.9591,0.11134534108638763,0.991775,0.047065915721654895,0.995325,0.016852188475430012,63.461997747421265,0.9841386650145054,0.9413,0.14933094913959502,0.8313,0.5185645352691411,0.7819,0.9841386650145054
26,0.0,0.0,1.0,0.01632723651230335,0.000125,0.9607,0.10756383073329925,0.99275,0.04460736705064774,0.99585,0.01632723651230335,63.48925185203552,1.0240530033111572,0.9384,0.1579923490524292,0.832,0.5329061124920845,0.7813,1.0240530033111572
27,0.0,0.0,1.0,0.016881706821918488,0.000125,0.9599,0.10832422740459442,0.992225,0.046547712647914886,0.995175,0.016881706821918488,63.366082191467285,1.0215099764704705,0.9308,0.17643514814376832,0.818,0.5587753836750984,0.7778,1.0215099764704705
28,0.0,0.0,1.0,0.012787335161864758,6.25e-05,0.962875,0.10343248111009598,0.992825,0.04248846906423569,0.99655,0.012787335161864758,63.47987413406372,0.9722813587903977,0.939,0.14930669050216674,0.8329,0.5156695954263211,0.786,0.9722813587903977
29,0.0,0.0,1.0,0.010456475350260735,6.25e-05,0.9635,0.10227504711151122,0.994025,0.03919973112344742,0.997675,0.010456475350260735,63.56546092033386,0.9953957465469837,0.9352,0.16334958090782165,0.8335,0.5179137092530728,0.7864,0.9953957465469837
30,0.0,0.0,1.0,0.008683368818461896,6.25e-05,0.96115,0.10808352794647216,0.99505,0.03794127012491226,0.9982,0.008683368818461896,63.42929196357727,0.9935113895297051,0.9384,0.15757620732784272,0.8353,0.514643761587143,0.7869,0.9935113895297051
31,0.0,0.0,1.0,0.008425970610976219,6.25e-05,0.96245,0.10345370470285416,0.994425,0.036953427511453626,0.9982,0.008425970610976219,63.399548292160034,0.9958918725967407,0.9385,0.1549493060350418,0.8367,0.5123743580341339,0.7883,0.9958918725967407
32,0.0,0.0,1.0,0.008736147686839104,6.25e-05,0.963325,0.10097371399402619,0.994625,0.036723946750164035,0.99795,0.008736147686839104,63.4070987701416,0.9974721982955933,0.9379,0.15684494261741638,0.8366,0.5106673372775317,0.7885,0.9974721982955933
33,0.0,0.0,1.0,0.00737978085950017,6.25e-05,0.964375,0.09942597251534462,0.995175,0.03543622072339058,0.99845,0.00737978085950017,63.07502293586731,1.0099702315330505,0.9406,0.15191689257621765,0.8389,0.5099524388849735,0.7892,1.0099702315330505
34,0.0,0.0,1.0,0.0068892647653818135,6.25e-05,0.963325,0.10141237144470215,0.995025,0.0346697586119175,0.99865,0.0068892647653818135,63.008286476135254,1.012033264017105,0.9394,0.15609984385967254,0.8384,0.5101272662132978,0.7895,1.012033264017105
35,0.0,0.0,1.0,0.007185047311335802,6.25e-05,0.962825,0.10169445275068283,0.99545,0.034722055995464324,0.9984,0.007185047311335802,63.171098470687866,1.0316203498601912,0.9405,0.15084307544231415,0.8379,0.5166356144994497,0.788,1.0316203498601912
36,0.0,0.0,1.0,0.006712700290232897,6.25e-05,0.96325,0.10232247869968414,0.99525,0.034151406753063204,0.99855,0.006712700290232897,63.072749614715576,1.041787152504921,0.9418,0.1508776696920395,0.8401,0.5138006407648325,0.7887,1.041787152504921
37,0.0,0.0,1.0,0.006465701721608639,6.25e-05,0.964325,0.09676715522408486,0.995725,0.033010705769062045,0.9987,0.006465701721608639,62.8567841053009,1.033525032353401,0.9416,0.15408393523693084,0.834,0.5205964161872864,0.7851,1.033525032353401
38,0.0,0.0,1.0,0.005949147117137909,3.125e-05,0.963725,0.10150198359489442,0.995525,0.03295590916275978,0.998825,0.005949147117137909,62.955344438552856,1.0372291088581085,0.9425,0.1517391251564026,0.8374,0.5169124152198434,0.7888,1.0372291088581085
39,0.0,0.0,1.0,0.005138538171350956,3.125e-05,0.96485,0.09953084790706634,0.9958,0.031249845522642136,0.998925,0.005138538171350956,62.95097255706787,1.0356101029157638,0.9404,0.15035834132432938,0.8374,0.5169345572888852,0.7872,1.0356101029157638
40,0.0,0.0,1.0,0.005050747264921665,3.125e-05,0.9657,0.09704461665153503,0.9962,0.030687727427482606,0.999,0.005050747264921665,63.00682187080383,1.0329739908695221,0.9422,0.15066976099014281,0.8379,0.513907414868474,0.7899,1.0329739908695221
41,0.0,0.0,1.0,0.004695866309851408,3.125e-05,0.964775,0.09803447494506835,0.995775,0.03067368071079254,0.998975,0.004695866309851408,62.925007581710815,1.0431914615154267,0.9433,0.1478288756132126,0.839,0.5149873887449503,0.7899,1.0431914615154267
42,0.0,0.0,1.0,0.0040280552588403224,3.125e-05,0.96475,0.09924183766841889,0.996575,0.02922928535938263,0.99935,0.0040280552588403224,62.931220054626465,1.0499316988945007,0.9436,0.1488353749155998,0.8357,0.5222143643975258,0.7854,1.0499316988945007
43,0.0,0.0,1.0,0.004456711142510176,3.125e-05,0.9662,0.09650574190616608,0.996725,0.029413984942436217,0.9991,0.004456711142510176,63.17243957519531,1.047504562163353,0.9432,0.14938032619953157,0.8353,0.5215192076325417,0.7893,1.047504562163353
44,0.0,0.0,1.0,0.004278332846239209,3.125e-05,0.965175,0.09762467925548554,0.9966,0.030046640479564665,0.99905,0.004278332846239209,62.91923522949219,1.0412798534870147,0.9381,0.15764403319358825,0.8371,0.5147703020229936,0.7898,1.0412798534870147
45,0.0,0.0,1.0,0.004408514354377985,3.125e-05,0.965575,0.09834507002830506,0.99625,0.02914199342727661,0.99905,0.004408514354377985,63.0607225894928,1.0526981664180755,0.9435,0.1487848518371582,0.8407,0.5100774701893329,0.7897,1.0526981664180755
46,0.0,0.0,1.0,0.004116196466609836,3.125e-05,0.9663,0.09562376556396485,0.996175,0.02953196638524532,0.9991,0.004116196466609836,63.040358543395996,1.0608539122343064,0.9432,0.15087515850067137,0.8356,0.5225038306564093,0.7871,1.0608539122343064
47,0.0,0.0,1.0,0.003908400528132915,3.125e-05,0.966225,0.09703218401670456,0.996525,0.029033257412910463,0.999225,0.003908400528132915,63.01374125480652,1.0492308383584024,0.9425,0.15026112651824952,0.8402,0.5117583629280329,0.7917,1.0492308383584024
48,0.0,0.0,1.0,0.003966466740891337,1.5625e-05,0.96565,0.09749880585670472,0.9967,0.02804408978521824,0.99915,0.003966466740891337,62.95058488845825,1.0498746811628341,0.9409,0.15180050723552704,0.8392,0.5128461255043745,0.7923,1.0498746811628341
49,0.0,0.0,1.0,0.0036081580776721237,1.5625e-05,0.965325,0.09760749749541282,0.997075,0.027239572075009346,0.999225,0.0036081580776721237,62.93282699584961,1.062978341782093,0.9414,0.1523351030111313,0.8401,0.5123232255667448,0.7928,1.062978341782093
