epoch,alpha,beta,gamma,loss,lr,predictions_coarse1_acc,predictions_coarse1_loss,predictions_coarse2_acc,predictions_coarse2_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse1_acc,val_predictions_coarse1_loss,val_predictions_coarse2_acc,val_predictions_coarse2_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.9,0.1,0.0,0.4657468463897705,0.00025,0.868225,0.33474006476402285,0.4053,1.6448079338073731,0.102375,3.1106962379455565,27.320048809051514,0.3419646149635315,0.9069,0.2488948166847229,0.5495,1.1795928451538087,0.072,3.214225485229492
1,0.9,0.1,0.0,0.31521814932823183,0.00025,0.91715,0.21404381294250488,0.54015,1.2257872161865235,0.1032,3.1619867733001707,22.726945400238037,0.30667095544338224,0.9147,0.21767843137979506,0.5739,1.1076037096977234,0.1758,2.743684508895874
2,0.9,0.1,0.0,0.2575184607505798,0.00025,0.93295,0.16968644082546233,0.6093,1.0480066617965698,0.100175,3.2148745483398438,22.722254514694214,0.8098341026306153,0.8012,0.7297529167175293,0.5379,1.5305649087905884,0.0793,3.0546287773132326
3,0.9,0.1,0.0,0.22062442610263824,0.00025,0.943375,0.14333336973190308,0.66135,0.9162439540863037,0.09895,3.2349806720733643,22.779717445373535,0.3860678186416626,0.8824,0.3169502317428589,0.634,1.0081261541366577,0.1003,2.924260530090332
4,0.0,0.8,0.2,0.19130037701129912,0.00025,0.953875,0.11930305228233337,0.6889,0.8392763193130494,0.10075,3.26416202545166,22.795385360717773,0.2004554994225502,0.9493,0.13309513902664186,0.6973,0.8066987512111664,0.1418,2.8775117835998536
5,0.0,0.8,0.2,0.8489547324180603,0.00025,0.956875,0.1100681711256504,0.728875,0.7337393734931946,0.5297,1.3098160667419434,22.779338121414185,0.8189583985805512,0.935,0.1634404046356678,0.7106,0.7713135187149048,0.627,1.0095378326416016
6,0.0,0.8,0.2,0.6519098254203797,0.00025,0.95945,0.10648357968330384,0.78885,0.581848357963562,0.659675,0.9321556331634522,22.79918384552002,0.7223499440193176,0.9208,0.19677761211395264,0.7615,0.673021204662323,0.6741,0.9196648387908936
7,0.0,0.8,0.2,0.5355839383125305,0.00025,0.965375,0.09448203556537628,0.82765,0.4751495915412903,0.71495,0.7773212749481201,22.75750494003296,0.817029266166687,0.9199,0.19506798462867736,0.7302,0.7662512648582458,0.6448,1.0201411783218384
8,0.0,0.8,0.2,0.4462989426612854,0.00025,0.9701,0.08531422247886658,0.858575,0.39072113652229307,0.75335,0.6686101215362549,22.769054412841797,0.7276957960367203,0.9322,0.1700465135782957,0.7592,0.6860639681100845,0.6894,0.8942230237960815
9,0.0,0.8,0.2,0.36814865279197695,0.00025,0.97375,0.07947088133096696,0.886825,0.31722221875190737,0.786025,0.5718543539047242,22.7823646068573,0.6381253791809082,0.9533,0.12145961527228355,0.8056,0.5932537272453308,0.7226,0.8176119456768036
