epoch,alpha,beta,loss,lr,predictions_coarse_acc,predictions_coarse_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse_acc,val_predictions_coarse_loss,val_predictions_fine_acc,val_predictions_fine_loss
0,0.95,0.05,0.26649403854211173,0.001,0.9307083333333334,0.21599353675047556,0.5678125,1.2260035764376322,4.721704006195068,0.13437228681643804,0.9635833333333333,0.10763817274570465,0.7812499998410543,0.6423204188346863
1,0.95,0.05,0.12782677491505942,0.001,0.9666874998410543,0.10166452892621358,0.7723749998410543,0.6249094681739807,3.000331401824951,0.1165240597128868,0.9676666671435038,0.09393407145142556,0.7829166666666667,0.5457338892618815
2,0.95,0.05,0.10704091318448385,0.001,0.9718124998410543,0.08511143724123636,0.8075416668256123,0.5237009619077047,2.943474769592285,0.0951915777126948,0.9734166671435038,0.07640060792366664,0.8226666663487753,0.45222001218795777
3,0.95,0.05,0.09124579383929571,0.001,0.9759583333333334,0.07159619253873825,0.8286875001589458,0.4645882262388865,2.955355167388916,0.08933704090118408,0.9715833338101705,0.07257301182548205,0.8540000003178915,0.40785361742973325
4,0.95,0.05,0.08242490468422572,0.001,0.9783541666666666,0.06412439920504888,0.8414375001589457,0.43013451504707334,2.894047498703003,0.08249107678731282,0.9767500001589458,0.06643424649039904,0.8533333330154419,0.38757086793581647
5,0.95,0.05,0.0740756635069847,0.001,0.980166666507721,0.05706938029328982,0.852958333492279,0.3971950420538584,2.9400289058685303,0.08181181482474009,0.9745833331743876,0.06680156980951626,0.86325,0.3670064715544383
6,0.95,0.05,0.06677869866291682,0.001,0.9823333333333333,0.050535567671060565,0.8592708334922791,0.3753981872399648,2.9245355129241943,0.07415731781721115,0.978416666507721,0.05932134579618772,0.8661666668256124,0.3560408109029134
7,0.6,0.4,0.06177930039167404,0.001,0.9842499998410543,0.04608942363162835,0.8666666668256123,0.3598869628111521,2.9500222206115723,0.08585805571079254,0.9765000001589457,0.07193132290244103,0.8686666666666667,0.35046598998705547
8,0.6,0.4,0.15677371827761333,0.001,0.9847291666666667,0.04455803029735883,0.8798958333333333,0.32509724084536235,2.8900349140167236,0.16073203353087107,0.9780833333333333,0.058885552436113354,0.8800833333333333,0.31350174856185914
9,0.6,0.4,0.13911970595518747,0.001,0.9852291668256123,0.04225178828835487,0.8951458333333333,0.2844215751489004,2.9024171829223633,0.15151096562544505,0.9799166668256124,0.058172355224688846,0.8927500003178914,0.2915188717842102
